Timestamp,ServerID,ErrorCode,RequestSource
2025-07-01 14:00:01,SRV-042,ERR-500,External
2025-07-01 14:00:02,SRV-042,ERR-500,External
2025-07-01 14:00:03,SRV-001,ERR-404,Internal
2025-07-01 14:00:04,SRV-042,ERR-500,External
2025-07-01 14:00:05,SRV-042,ERR-500,External
2025-07-01 14:00:06,SRV-003,ERR-200,Internal
2025-07-01 14:00:07,SRV-042,ERR-500,External
2025-07-01 14:00:08,SRV-042,ERR-500,External
2025-07-01 14:00:09,SRV-001,ERR-404,Internal
2025-07-01 14:00:10,SRV-042,ERR-500,External
2025-07-01 14:01:01,SRV-042,ERR-500,External
2025-07-01 14:01:02,SRV-002,ERR-503,External
2025-07-01 14:01:03,SRV-042,ERR-500,External
2025-07-01 14:01:04,SRV-042,ERR-500,External
2025-07-01 14:01:05,SRV-003,ERR-200,Internal
2025-07-01 14:02:01,SRV-042,ERR-500,External
2025-07-01 14:02:02,SRV-042,ERR-500,External
2025-07-01 14:02:03,SRV-001,ERR-404,Internal
2025-07-01 14:02:04,SRV-042,ERR-500,External
2025-07-01 14:02:05,SRV-042,ERR-500,External